Name,lat,lon,degN,degE,alt
Kevo,69.75,27.02,69°45’N,27°01'E,100 m asl
Kilpisjärvi station,69.05,20.83,69°03'N,20°50'E,565.8 m asl
Flakaliden,64.12,19.45,64°07'N,19°27'E,310 m asl
Sodankylä,67.35,26.63,67°21'N,26°38'E,179 m asl
Tustervatn,65.83,13.92,65°50'N,13°55'E,439 m asl
Esrange,67.88,21.07,67°53'N,21°04'E,475 m asl
Bredkälen,63.85,15.33,63°51'N,15°20'E,404 m asl
Vindeln,64.25,19.77,64°15'N,19°46'E,225 m asl
Pallas Sammaltunturi,68.0,24.15,68°00'N,24°09'E,565 m asl
Åreskutan,63.4,13.1,63°24'N,13°06'E,1250 m asl
Nikkaluokta,67.85,19.02,67°51'N,19°01'E,
Palovaara,68.42,22.83,68°25'N,22°50'E,
Myrberg,66.05,20.63,66°03'N,20°38'E,
Råö,57.38,11.92,57°23'N,11°55'E,
Karasjok,69.47,25.22,69°28'N,25°13'E,333 m asl
Pasvik,69.45,30.03,69°27’N,30°02'E,30 m asl
Hønefoss,60.13,10.25,60°08'N,10°15'E,126 m asl
Vestvågøy,68.15,13.61,68°09'N,13°37'E,
Rosinedal,64.17,19.75,64°10'N,19°45'E,
Abisko,68.35,19.05,68°21'N,19°3'E,385 m asl
